Genome elements	LOGFC_prfA_Star vs EGDe_280212.ge	STAT_prfA_Star vs EGDe_280212_LPE.ge	LOGFC_prfA_Star vs EGDe_280212.gr	STAT_prfA_Star vs EGDe_280212_TSTUDENTTILING.gr	CORR_prfA_Star vs EGDe_280212_ARRAYSCORR.gr	STAT_prfA_Star vs EGDe_280212_FDRBY.gr	STAT_prfA_Star vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0201	4.3093234522511	1.3964251976972264E-10	4.0868530058785	4.055462864003346E-30	0.9483746233399153	2.11652753552568E-7	1.9850184185266073E-7	-	204624	205577	954	plcA		phosphatidylinositol-specific phospholipase c				TTG	 
lmo0202	4.084428921244271	1.5793411023423687E-10	4.169929160560001	1.2839085430988998E-72	1.0209332175842303	2.1277944006086475E-7	2.245033376979677E-7	+	205819	207408	1590	hly		listeriolysin O precursor				ATG	 
lmo0203	6.74753826054736	0.0	6.201480507115	2.005432394774178E-66	0.9190730408117666	6.136529330149091E-63	2.8747873379087843E-63	+	207739	209271	1533	mpl		Zinc metalloproteinase precursor				ATG	 
lmo0204	5.77791668009804	0.0	6.15632466835	5.793787093040239E-106	1.0654921157924242	3.545743503668116E-102	8.305393797873183E-103	+	209470	211389	1920	actA		actin-assembly inducing protein precursor				GTG	 
lmo0205	6.21833955961467	0.0	6.185633334935	1.1661776009329167E-47	0.9947403604505481	8.39635038712065E-45	1.6717155909373362E-44	+	211425	212294	870	plcB		phospholipase C				ATG	 
lmo0206	6.889157105011619	0.0	6.6496560595	1.3744188717506874E-19	0.9652350727584089	1.4756692854004224E-17	1.9702294526546104E-16	+	212366	212689	324			hypothetical protein				ATG	 
lmo0207	6.05961962126807	2.4424906541753444E-15	5.134168795700001	3.2677036428741964E-17	0.8472757560029148	4.233680787138589E-12	3.5188429966308535E-12	+	212824	213285	462			hypothetical protein				ATG	 
lmo0434	3.5585098412601006	2.9628459581987343E-5	3.5827302768099996	8.398328411026479E-54	1.0068063421573459	0.02245356594964659	0.04211685529579501	+	457021	458913	1893	inlB		internalin B				GTG	 
lmo0604	3.7548250411465496	2.0612074804748914E-6	1.9526327653469995	1.1211743866773208E-7	0.5200329559831517	0.0019252063239266761	0.0030907267818252523	-	643400	643744	345			hypothetical protein				ATG	 
lmo0838	7.94541543214774	0.0	6.755936610989999	1.4787173573887343E-59	0.8502936905797246	3.6198447609652087E-56	2.1197413318167505E-56	+	869095	870480	1386	uhpT		sugar:phosphate antiporter				ATG	 
lmo1591	-4.17450879546728	9.985476186802345E-6	-4.849500218709001	1.635598511763852E-38	1.1616936162584286	0.008648424088084762	0.014194354399539533	-	1632728	1633759	1032	argC		N-acetyl-gamma-glutamyl-phosphate reductase				ATG	 
lmo1786	6.53928908539682	0.0	6.645050432166999	2.6584716106748713E-50	1.0161732178206282	2.7115995956426577E-47	3.810919053902428E-47	-	1860200	1861090	891	inlC		internalin C				TTG	 
lmo2090	-4.148847431927641	4.5284778285026306E-5	-4.78946811558	1.7939255517580914E-54	1.15440931346919	0.0322997794952726	0.0643723123321649	+	2169312	2170526	1215	argG		argininosuccinate synthase				ATG	 
lmo2269	-4.00614966458304	1.3955584754477002E-7	-3.916318574333	3.9846380657425057E-10	0.9775767013788313	1.410276933190033E-4	1.9894983515161477E-4	-	2359948	2360304	357			hypothetical protein				ATG	 
